"","Editd_g","Kill_cd","Distance"
"105",6,4,27723.0664292
"106",4,1,72853.37601528
"107",5,2,85322.75923001
"108",2,4,49474.98586564
"109",0,2,1444.88398429
"110",6,1,16642.17392709
"111",20,1,16176.25547646
"112",6,1,22143.39727832
"113",0,1,15777.12023666
"114",11,1,18008.33276996
"115",9,1,34861.25571563
"116",11,1,32580.95693133
"117",4,1,35556.82702407
"118",0,1,37680.03228288
"119",15,1,34153.40991817
"120",7,1,32286.87698973
"121",8,1,31373.30968018
"122",5,1,34773.30793786
"123",3,1,34773.30793786
"124",3,2,2068.9552323
"125",0,1,36324.10019409
"126",7,1,32301.64803988
"127",5,1,35714.80708739
"128",5,1,31764.45627603
"129",15,1,36324.10019409
"130",8,1,16345.2080203
"131",5,1,35536.9220294
"132",38,2,7656.17041546
"133",18,4,34423.16040388
"134",7,1,35131.39508173
"135",0,2,2179.92466101
"136",0,4,19325.11746981
"137",5,1,36151.54685802
"138",3,1,35131.39508173
"139",31,1,33635.70676842
"140",25,1,9397.67830992
"141",8,1,12536.52472001
"142",7,1,34335.79654533
"143",0,2,8296.44192908
"144",3,1,10293.44961021
"145",3,3,17848.21370046
"146",3,1,22551.43387368
"147",0,5,1626.863002
"148",16,1,34335.79654533
"149",0,1,27318.05575714
"150",13,1,37140.77272831
"151",3,1,88049.17758852
"152",2,1,80405.63180897
"153",27,1,85593.53930837
"154",0,1,194752.27140853
"155",3,1,77936.37017886
"156",16,1,81509.18430557
"157",3,1,85593.53930837
"158",4,1,29511.72351687
"159",12,1,158792.14656054
"160",4,1,24521.94806747
"161",4,1,112137.48954328
"162",6,1,107002.66869444
"163",4,1,74696.70274945
"164",19,1,179965.29842053
"165",10,1,193958.32515387
"166",5,1,190983.67570535
"167",6,1,193290.02150116
"168",22,1,85146.53827253
"169",3,1,74898.27221786
"170",3,1,68599.62371583
"171",0,1,184977.77219545
"172",5,1,90912.73111776
"173",11,1,96282.76478332
"174",3,1,95655.20898365
"175",2,1,143657.46029911
"176",6,1,82403.31170772
"177",11,1,94843.87236804
"178",6,1,213400.7042073
"179",3,1,218922.57993072
"180",14,1,118943.03549462
"181",3,1,23668.41837626
"182",4,1,32940.71411877
"183",15,1,44946.26852583
"184",3,1,36086.70479404
"185",3,1,70349.03965785
"186",3,1,35041.06877266
"187",12,1,101050.5895636
"188",24,1,93966.68213313
"189",24,1,244674.76258418
"190",3,1,97008.87222362
"191",14,1,41939.69562966
"192",15,1,16274.64055849
"193",15,1,92596.46567282
"194",12,1,76213.80071707
"195",2,1,88292.62541165
"196",17,1,41750.60368802
"197",3,1,65880.78518681
"198",10,1,89237.15122114
"199",1,1,68114.85050306
"200",3,1,56647.99062093
"201",6,1,199089.13145128
"202",0,1,168215.07825982
"203",2,1,175833.68958439
"204",3,1,171701.85667775
"205",3,1,185354.1991361
"206",18,1,90934.01742447
"207",5,1,90934.01742447
"208",3,1,23504.78839169
"209",2,1,98100.45849456
"210",2,1,118943.03549462
"211",8,1,18714.44526739
"212",8,1,21078.52756397
"213",9,1,21078.52756397
"214",8,1,109457.77600376
"215",0,1,76173.65853816
"216",6,1,67641.4306732
"217",6,1,104561.59183698
"218",2,1,65190.46160996
"219",5,1,28776.88417149
"220",8,1,54811.85374567
"221",3,1,22502.63754498
"222",0,1,18714.44526739
"223",3,1,180626.98480805
"224",4,1,28838.29696717
"225",4,1,175761.56183243
"226",29,1,91627.07480957
"227",13,1,95030.90895802
"228",14,1,109421.80916686
"229",20,1,87346.0056792
"230",12,1,28686.3181787
"231",23,1,103214.22458187
"232",7,1,91627.07480957
"233",2,1,73523.84209717
"234",3,1,70359.27027825
"235",3,1,218922.57993072
"236",4,1,235963.79747392
"237",2,1,104340.28521659
"238",9,1,74217.43415263
"239",2,1,59805.86277893
"240",3,1,87504.39535962
"241",2,1,44027.46988273
"242",7,1,74487.8919743
"243",18,1,72634.76054734
"244",8,1,188864.98153611
"245",3,1,89878.27255435
